-360.577	-288.961
-354.918	-275.980
-349.286	-263.625
-343.769	-251.939
-338.475	-240.957
-333.417	-230.610
-328.582	-220.889
-324.007	-211.718
-319.633	-203.118
-315.500	-194.973
-311.575	-187.297
-307.827	-180.028
-304.347	-173.150
-300.971	-166.587
-297.749	-160.389
-294.713	-154.487
-291.820	-148.839
-289.126	-143.515
-286.492	-138.395
-284.000	-133.498
-281.612	-128.782
-279.377	-124.351
-277.238	-120.033
-275.185	-115.878
-273.232	-111.907
-271.346	-108.139
-269.538	-104.452
-267.831	-100.860
-266.262	-97.494
-264.656	-94.248
-263.242	-91.045
-261.782	-87.959
-260.484	-85.020
-259.239	-82.211
-257.995	-79.419
-256.819	-76.679
-255.722	-74.200
-254.701	-71.608
-253.718	-69.276
-252.798	-66.817
-251.967	-64.600
-251.215	-62.441
-250.435	-60.351
-249.676	-58.333
-249.095	-56.343
-248.476	-54.398
-247.882	-52.547
-247.454	-50.698
-247.034	-49.124
-246.609	-47.443
-246.364	-45.783
-246.128	-44.355
-245.884	-42.684
-245.746	-41.271
-245.690	-39.598
-245.688	-38.065
-245.701	-36.444
-245.761	-34.771
-245.862	-33.321
-246.050	-31.633
-246.219	-30.130
-246.327	-28.494
-246.415	-26.835
-246.519	-25.366
-246.621	-23.691
-246.682	-22.305
-246.754	-20.642
-246.824	-19.246
-246.877	-17.625
-246.892	-16.266
-246.867	-14.653
-246.794	-13.330
-246.692	-11.762
-246.610	-10.468
-246.454	 -9.187
-246.314	 -7.711
-245.947	 -6.506
-245.634	 -5.323
-245.351	 -4.092
-244.836	 -2.801
-244.458	 -1.698
-243.902	 -0.652
-243.407	  0.365
-242.714	  1.333
-242.235	  2.260
-241.461	  3.049
-240.658	  3.717
-239.859	  4.507
-239.150	  5.248
-238.289	  5.662
-237.333	  6.295
-236.351	  6.605
-235.342	  6.951
-234.301	  7.301
-233.222	  7.406
-232.012	  7.457
-230.738	  7.442
-229.607	  7.368
-228.390	  7.187
-227.160	  6.703
-225.697	  6.381
-224.425	  5.706
-223.060	  5.192
-221.607	  4.357
-220.259	  3.416
-218.647	  2.412
-217.274	  1.359
-215.640	  0.207
-214.190	 -1.213
-212.528	 -2.481
-210.855	 -3.792
-209.337	 -5.387
-207.610	 -6.806
-205.875	 -8.500
-204.311	-10.252
-202.504	-11.796
-200.675	-13.625
-198.908	-15.483
-197.232	-17.394
-195.345	-19.350
-193.446	-21.333
-191.532	-23.347
-189.599	-25.396
-187.627	-27.497
-185.640	-29.626
-183.630	-31.780
-181.599	-34.205
-179.528	-36.413
-177.420	-38.672
-175.328	-41.188
-173.144	-43.513
-170.767	-45.911
-168.575	-48.447
-166.334	-50.932
-163.889	-53.521
-161.540	-56.201
-159.192	-58.672
-156.614	-61.407
-154.192	-64.136
-151.535	-66.702
-148.860	-69.523
-146.314	-72.330
-143.506	-75.079
-140.676	-77.750
-137.848	-80.597
-135.053	-83.411
-132.161	-86.244
-129.191	-88.815
-126.163	-91.547
-123.103	-94.199
-120.000	-96.503
